question,expected_path,top_1,top_2,top_3,top_4,top_5,hit@1,hit@3,hit@5,mrr,method
What are some recommended practices when implementing function calling?,Function Calling > Best Practices,Function Calling > Best Practices,Function Calling > Overview,Function Calling > Summary,Function Calling > FAQ > Does the model execute my code?,Function Calling > Example Workflow,1,1,1,1.0,text
What mistakes should developers avoid when using function calling?,Function Calling > Common Mistakes,Function Calling > Common Mistakes,Function Calling > Overview,Function Calling > Summary,Function Calling > FAQ > Does the model execute my code?,Function Calling > Example Workflow,1,1,1,1.0,text
Does the language model execute application code directly?,Function Calling > FAQ > Does the model execute my code?,Function Calling > FAQ > Does the model execute my code?,Models > Model Categories > Language Models,Models > Model Categories > Embedding Models,Authentication > Initializing the Client,Models > Choosing a Model,1,1,1,1.0,text
What factors should be considered when selecting a model for an application?,Models > Choosing a Model,Models > FAQ > Which model should I use for RAG?,Models > Model Categories > Language Models,Models > Model Categories > Embedding Models,Embeddings > Creating an Embedding,Models > Choosing a Model,0,0,1,0.2,text
What types of tasks are language models commonly used for?,Models > Model Categories > Language Models,Models > Model Categories > Language Models,Models > Model Categories > Embedding Models,Models > FAQ > Which model should I use for RAG?,Models > FAQ > Can I change models later?,Models > Best Practices,1,1,1,1.0,text
What are embedding models used for?,Models > Model Categories > Embedding Models,Models > Model Categories > Embedding Models,Models > Model Categories > Language Models,Models > FAQ > Which model should I use for RAG?,Models > Best Practices,Models > FAQ > Can I change models later?,1,1,1,1.0,text
What are some common mistakes developers make when choosing or using models?,Models > Common Mistakes,Models > Common Mistakes,Models > Model Categories > Embedding Models,Models > Model Categories > Language Models,Models > Choosing a Model,Models > FAQ > Can I change models later?,1,1,1,1.0,text
Which models are typically combined in a RAG system?,Models > FAQ > Which model should I use for RAG?,Models > Model Categories > Embedding Models,Models > FAQ > Which model should I use for RAG?,Models > Model Categories > Language Models,Models > FAQ > Can I change models later?,Models > Best Practices,0,1,1,0.5,text
What capabilities does the Responses API support?,Responses API > Overview,Responses API > Responses API in RAG,Responses API > Example: Question Answering,Responses API > Basic Request,Responses API > Summary,Responses API > Understanding Input,0,0,0,0.0,text
What information can be included in a Responses API request?,Responses API > Request Components,Responses API > Responses API in RAG,Responses API > Basic Request,Responses API > Request Components,Responses API > Example: Question Answering,Responses API > Understanding Output,0,1,1,0.3333333333333333,text
What kinds of prompts can be passed as input to the Responses API?,Responses API > Understanding Input,Responses API > Understanding Input,Responses API > Responses API in RAG,Responses API > Example: Question Answering,Responses API > Basic Request,Responses API > Best Practices,1,1,1,1.0,text
What are some best practices when working with the Responses API?,Responses API > Best Practices,Responses API > Best Practices,Responses API > Responses API in RAG,Responses API > Example: Question Answering,Responses API > Basic Request,Responses API > Overview,1,1,1,1.0,text
How does the Responses API fit into a Retrieval-Augmented Generation pipeline?,Responses API > Responses API in RAG,Responses API > Responses API in RAG,Responses API > Summary,Responses API > Example: Translation,Responses API > Overview,Responses API > Basic Request,1,1,1,1.0,text
Why does streaming improve the user experience?,Streaming > Overview,Streaming > Why Use Streaming?,Streaming > Typical Streaming Flow,Streaming > Overview,Streaming > FAQ > Is streaming faster?,Streaming > FAQ > Can streaming be used with RAG?,0,1,1,0.3333333333333333,text
In which situations is streaming particularly useful?,Streaming > Why Use Streaming?,Streaming > Why Use Streaming?,Streaming > FAQ > Is streaming faster?,Streaming > Typical Streaming Flow,Streaming > FAQ > Can streaming be used with RAG?,Streaming > Summary,1,1,1,1.0,text
What steps do applications typically follow when handling streaming responses?,Streaming > Handling Events,Streaming > Handling Events,Streaming > FAQ > Is streaming faster?,Streaming > Why Use Streaming?,Streaming > FAQ > Can streaming be used with RAG?,Streaming > Typical Streaming Flow,1,1,1,1.0,text
What mistakes should developers avoid when implementing streaming?,Streaming > Common Mistakes,Streaming > Why Use Streaming?,Streaming > Common Mistakes,Streaming > Typical Streaming Flow,Streaming > FAQ > Is streaming faster?,Streaming > FAQ > Can streaming be used with RAG?,0,1,1,0.5,text
Can streaming be used with Retrieval-Augmented Generation (RAG)?,Streaming > FAQ > Can streaming be used with RAG?,Streaming > FAQ > Can streaming be used with RAG?,Streaming > Why Use Streaming?,Streaming > Typical Streaming Flow,Streaming > FAQ > Is streaming faster?,Streaming > Handling Events,1,1,1,1.0,text
Why is authentication required for OpenAI API requests?,Authentication > Overview,Authentication > Overview,Authentication > Summary,Authentication > Initializing the Client,Authentication > Creating an API Key,Authentication > First Request,1,1,1,1.0,vector
What header must be included in every authenticated OpenAI API request?,Authentication > How Authentication Works,Authentication > Summary,Authentication > Overview,Authentication > Initializing the Client,Authentication > First Request,Authentication > How Authentication Works,0,0,1,0.2,vector
What is the recommended way to store an OpenAI API key in Python applications?,Authentication > Storing API Keys Securely,Authentication > Storing API Keys Securely,Authentication > Creating an API Key,Authentication > Using a .env File,Authentication > Overview,Authentication > Summary,1,1,1,1.0,vector
What are some possible causes of an invalid API key error?,Authentication > Common Errors > Invalid API Key,Authentication > Common Errors > Invalid API Key,Responses API > Error Handling,Authentication > Common Errors > Missing API Key,Authentication > Storing API Keys Securely,Responses API,1,1,1,1.0,vector
Can I expose my API key in browser JavaScript?,Authentication > FAQ > Can I expose my API key in browser JavaScript?,Authentication > FAQ > Can I expose my API key in browser JavaScript?,Authentication > Creating an API Key,Authentication > How Authentication Works,Authentication > Storing API Keys Securely,Authentication > Using a .env File,1,1,1,1.0,vector
What types of applications commonly use embeddings?,Embeddings > Common Uses,Embeddings > Common Mistakes,Models > Common Mistakes,Embeddings > Typical RAG Workflow,Embeddings > Best Practices,Embeddings > Common Uses,0,0,1,0.2,vector
What are the main steps in a typical RAG workflow that uses embeddings?,Embeddings > Typical RAG Workflow,Embeddings > Typical RAG Workflow,Embeddings > Summary,Embeddings > Overview,Models > Common Mistakes,Embeddings > Common Mistakes,1,1,1,1.0,vector
How is similarity search performed in an embeddings-based system?,Embeddings > Similarity Search,Embeddings > Similarity Search,Embeddings > Common Uses,Models > Model Categories > Embedding Models,Embeddings > Common Mistakes,Embeddings > Summary,1,1,1,1.0,vector
What should you do if you switch to a different embedding model?,Embeddings > Best Practices,Embeddings > Common Mistakes,Embeddings > Best Practices,Models > Common Mistakes,Models > FAQ > Can I change models later?,Embeddings > FAQ > Are embeddings readable?,0,1,1,0.5,vector
Can embeddings generate answers directly?,Embeddings > FAQ > Can embeddings generate answers?,Embeddings > FAQ > Can embeddings generate answers?,Embeddings > Typical RAG Workflow,Embeddings > Summary,Embeddings > Overview,Models > FAQ > Which model should I use for RAG?,1,1,1,1.0,vector
What kinds of tasks can function calling help automate?,Function Calling > Common Use Cases,Function Calling > Overview,Function Calling > Summary,Function Calling > Best Practices,Function Calling > Example Workflow,Function Calling > Basic Flow,0,0,0,0.0,vector
What are the steps involved in the basic function-calling workflow?,Function Calling > Basic Flow,Function Calling > Example Workflow,Function Calling > Basic Flow,Function Calling > Overview,Function Calling > Summary,Function Calling > Best Practices,0,1,1,0.5,vector
What are some recommended practices when implementing function calling?,Function Calling > Best Practices,Function Calling > Best Practices,Function Calling > Common Use Cases,Function Calling > Summary,Function Calling > Common Mistakes,Function Calling > Overview,1,1,1,1.0,vector
What mistakes should developers avoid when using function calling?,Function Calling > Common Mistakes,Function Calling > Best Practices,Function Calling > Common Mistakes,Function Calling > Common Use Cases,Function Calling > Summary,Function Calling > Overview,0,1,1,0.5,vector
Does the language model execute application code directly?,Function Calling > FAQ > Does the model execute my code?,Function Calling > FAQ > Does the model execute my code?,Function Calling > Overview,Function Calling > Summary,Function Calling > Basic Flow,Models > FAQ > Can I change models later?,1,1,1,1.0,vector
What factors should be considered when selecting a model for an application?,Models > Choosing a Model,Models > Overview,Models > Best Practices,Models > Choosing a Model,Models > FAQ > Can I change models later?,Function Calling > Basic Flow,0,1,1,0.3333333333333333,vector
What types of tasks are language models commonly used for?,Models > Model Categories > Language Models,Models > Model Categories > Language Models,Models > Common Mistakes,Models > Best Practices,Models > Overview,Models > Summary,1,1,1,1.0,vector
What are embedding models used for?,Models > Model Categories > Embedding Models,Embeddings > Common Mistakes,Models > Common Mistakes,Embeddings > Best Practices,Models > Model Categories > Embedding Models,Embeddings > Common Uses,0,0,1,0.25,vector
What are some common mistakes developers make when choosing or using models?,Models > Common Mistakes,Function Calling > Common Mistakes,Models > Best Practices,Models > FAQ > Can I change models later?,Models > Common Mistakes,Models > Overview,0,0,1,0.25,vector
Which models are typically combined in a RAG system?,Models > FAQ > Which model should I use for RAG?,Models > FAQ > Which model should I use for RAG?,Embeddings > Summary,Embeddings > Typical RAG Workflow,Responses API > Responses API in RAG,Responses API > Best Practices,1,1,1,1.0,vector
What capabilities does the Responses API support?,Responses API > Overview,Responses API > Overview,Responses API,Responses API > Summary,Responses API > Request Components,Responses API > Best Practices,1,1,1,1.0,vector
What information can be included in a Responses API request?,Responses API > Request Components,Responses API > Request Components,Responses API > Overview,Responses API > Best Practices,Responses API,Responses API > Summary,1,1,1,1.0,vector
What kinds of prompts can be passed as input to the Responses API?,Responses API > Understanding Input,Responses API > Understanding Input,Responses API > Request Components,Responses API > Best Practices,Responses API > Responses API in RAG,Responses API > Overview,1,1,1,1.0,vector
What are some best practices when working with the Responses API?,Responses API > Best Practices,Responses API > Best Practices,Responses API > Overview,Responses API,Responses API > Request Components,Responses API > Error Handling,1,1,1,1.0,vector
How does the Responses API fit into a Retrieval-Augmented Generation pipeline?,Responses API > Responses API in RAG,Responses API > Overview,Responses API > Summary,Responses API > Responses API in RAG,Responses API > Request Components,Responses API,0,1,1,0.3333333333333333,vector
Why does streaming improve the user experience?,Streaming > Overview,Streaming > Why Use Streaming?,Streaming > Overview,Streaming > FAQ > Is streaming faster?,Streaming > Summary,Streaming > Best Practices,0,1,1,0.5,vector
In which situations is streaming particularly useful?,Streaming > Why Use Streaming?,Streaming > Why Use Streaming?,Streaming > Overview,Streaming > Best Practices,Streaming > Handling Events,Streaming > Common Mistakes,1,1,1,1.0,vector
What steps do applications typically follow when handling streaming responses?,Streaming > Handling Events,Streaming > Common Mistakes,Streaming > Best Practices,Streaming > Handling Events,Streaming > Overview,Streaming > Typical Streaming Flow,0,1,1,0.3333333333333333,vector
What mistakes should developers avoid when implementing streaming?,Streaming > Common Mistakes,Streaming > Common Mistakes,Streaming > Why Use Streaming?,Streaming > Best Practices,Streaming > Overview,Streaming > Handling Events,1,1,1,1.0,vector
Can streaming be used with Retrieval-Augmented Generation (RAG)?,Streaming > FAQ > Can streaming be used with RAG?,Streaming > FAQ > Can streaming be used with RAG?,Streaming > Overview,Streaming > Summary,Streaming > Why Use Streaming?,Streaming > Best Practices,1,1,1,1.0,vector
